Genus	Species	Subspecies	Ploidy Level (x)	DNA Amount1C (pg)	Original Reference
Allium	hymenorrhizum		2	12.8	Ohri et al.,1996
Allium	caesium		2	12.9	Vakhtina et al.,1977
Allium	tenuissimum		2	13	Ohri et al.,1996
Allium	lineare		2	13.1	Ohri et al.,1996
Allium	fetisowii		-	13.13	Gurushidze et al.,2012
Allium	obliquum		2	13.2	Ohri et al.,1996
Allium	leucocephalum		2	13.2	Ohri et al.,1996
Allium	scabrellum		-	13.2	Vakhtina et al.,1977
Allium	carolinianum		2	13.2	Ohri et al.,1996
Allium	schoenoprasum		4	13.4	Labani and Elkington,1987
Allium	akaka		2	13.6	Vakhtina et al.,1977
Allium	junceum		2	13.6	Doherty and Brandham,1990
Allium	saxatile		2	13.8	Vakhtina et al.,1977
Allium	delicatulum		2	13.9	Vakhtina et al.,1977
Allium	albidum		2	14.1	Vakhtina et al.,1977
Allium	mairei		2	14.1	Ohri et al.,1996
Allium	macrochaetum	subsp. tuncelianum	2	14.1	Doherty and Brandham,1990
Allium	bucharicum		2	14.2	Ohri et al.,1996
Allium	praescissum		2	14.3	Vakhtina et al.,1977
Allium	karsianum		2	14.3	Vakhtina et al.,1977
Allium	mongolicum		2	14.3	Ohri et al.,1996
Allium	chamaemoly		-	14.38	Veselý et al.,2012
Allium	altaicum		2	14.6	Vakhtina et al.,1977
Allium	hissaricum		2	14.7	Ohri et al.,1996
Allium	angulosum		2	15.1	Ohri et al.,1996
Allium	tashkenticum		-	15.22	Gurushidze et al.,2012
Allium	taeniopetalum	subsp. mogoltavicum (Vved.) R.M.Fritsch & Khassanov	-	15.31	Gurushidze et al.,2012
Allium	montibaicalense		2	15.3	Ohri et al.,1996
Allium	roylei		2	15.4	Labani and Elkington,1987
Allium	gunibicum		2	15.6	Vakhtina et al.,1977
Allium	chloranthum		2	15.6	Doherty and Brandham,1990
Allium	rotundum		2	15.6	Vakhtina et al.,1977
Allium	neapolitanum		2	15.6	Jones and Rees,1968
Allium	longiradiatum		2	15.7	Vakhtina et al.,1977
Allium	margaritae		2	15.8	Vakhtina et al.,1977
Allium	schubertii		2	15.8	Vakhtina et al.,1977
Allium	hookeri		3	15.8	Ohri et al.,1996
Allium	alexeianum		-	15.82	Gurushidze et al.,2012
Allium	barsczewskii		2	15.8	Labani and Elkington,1987
Allium	caspium		2	15.9	Ohri et al.,1996
Allium	kurssanovii		2	16	Ohri et al.,1996
Allium	severtzovioides		-	16.05	Gurushidze et al.,2012
Allium	ochroleucum		2	16.1	Labani and Elkington,1987
Allium	robustum		-	16.07	Gurushidze et al.,2012
Allium	tulipifolium		-	16.08	Gurushidze et al.,2012
Allium	heldreichii		2	16.1	Ohri et al.,1996
Allium	sativum		2	16.2	Ohri et al.,1996
Allium	protensum		-	16.25	Gurushidze et al.,2012
Allium	wallichii		2	16.2	Ohri et al.,1996
Allium	trifoliatum		3	16.3	Labani and Elkington,1987
Allium	carinatum		3	16.3	Nagl and Fusenig,1979
Allium	unifolium		2	16.3	Ohri et al.,1996
Allium	winklerianum		2	16.44	Gurushidze et al.,2012
Allium	vvedenskyanum		-	16.72	Gurushidze et al.,2012
Allium	verticillatum		-	16.75	Gurushidze et al.,2012
Allium	cepa		2	17.9	Van't Hof,1965
Allium	lipskyanum		2	16.81	Gurushidze et al.,2012
Allium	dictyoprasum		2	16.9	Doherty and Brandham,1990
Allium	gypsaceum		-	16.91	Gurushidze et al.,2012
Allium	darwasicum		2	16.95	Gurushidze et al.,2012
Allium	schachimardanicum		-	16.97	Gurushidze et al.,2012
Allium	chychkanense		-	16.99	Gurushidze et al.,2012
Allium	sarawschanicum		-	17.1	Gurushidze et al.,2012
Allium	cernuum		2	17.1	Jones and Rees,1968
Allium	costatovaginatum		-	17.23	Gurushidze et al.,2012
Allium	gomphrenoides		2	17.4	Doherty and Brandham,1990
Allium	pskemense		2	17.6	Ohri et al.,1996
Allium	kunthianum		2	17.6	Vakhtina et al.,1977
Allium	longicuspis		2	17.6	Doherty and Brandham,1990
Allium	altyncolicum		4	17.6	Ohri et al.,1996
Allium	subhirsutum		2	17.8	Jones and Rees,1968
Allium	iliense		2	17.9	Vakhtina et al.,1977
Allium	hirsutum		2	17.9	Jones and Rees,1968
Allium	cirrhosum		-	18.09	Veselý et al.,2012
Allium	triquetrum		2	18.1	Jones and Rees,1968
Allium	oschaninii		2	18.2	Vakhtina et al.,1977
Allium	motor		-	18.23	Gurushidze et al.,2012
Allium	majus		-	18.28	Gurushidze et al.,2012
Alnus	glutinosa	NA	2	0.51	Mandák et al.,2016
Alnus	x pubescens	NA	2	0.53	Siljak-Yakovlev et al.,2010
Alnus	viridis	NA	2	0.6	Olszewska and Osiecka,1984
Alnus	glutinosa	NA	2	0.5	Band,1984
Alnus	incana	NA	2	0.57	Siljak-Yakovlev et al.,2010
Alnus	glutinosa	NA	4	1.01	Siljak-Yakovlev et al.,2010
Amaranthus	hypochondriacus	NA	2	0.5	Bennett et al.,1976
Amaranthus	palmeri	NA	-	0.48	Rayburn et al.,2005
Amaranthus	powellii	NA	4	0.51	Kubešová et al.,2010
Amaranthus	cruentus	NA	2	0.5	Bennett et al.,1976
Amaranthus	albus	NA	4	0.55	Kubešová et al.,2010
Amaranthus	blitoides	NA	4	0.56	Kubešová et al.,2010
Amaranthus	quitensis	NA	2	0.6	Sun et al.,1999
Amaranthus	caudatus	NA	2	0.6	Sun et al.,1999
Amaranthus	hybridus	NA	-	0.7	Bennett et al.,1997
Amaranthus	tuberculatus	NA	-	0.72	Rayburn et al.,2005
Amaranthus	retroflexus	NA	2	0.9	Bennett et al.,1998
Amaranthus	spinosus	NA	2	1	Bennett et al.,1998
Amaranthus	edulis	NA	2	1.2	Ohri et al.,1981
Amaranthus	tricolor	NA	2	1.2	Ohri et al.,1981
Amborella	trichopoda	NA	-	0.89	Leitch and Hanson,2002
Amorphophallus	rivieri	NA	-	0.2	Zhang et al.,2013
Amorphophallus	prainii	NA	2	3.8	Chauhan and Brandham,1985
Amorphophallus	dubius	NA	2	4	Chauhan and Brandham,1985
Amorphophallus	paeoniifolius	NA	2	4.2	Chauhan and Brandham,1985
Amorphophallus	sutepensis	NA	2	6.2	Chauhan and Brandham,1985
Amorphophallus	lambii	NA	2	7.6	Chauhan and Brandham,1985
Amorphophallus	bulbifer	NA	3	9.3	Chauhan and Brandham,1985
Amorphophallus	oncophyllus	NA	3	9.7	Chauhan and Brandham,1985
Amorphophallus	abyssinicus	NA	2	10.7	Chauhan and Brandham,1985
Amorphophallus	goetzei	NA	2	11.3	Chauhan and Brandham,1985
Amorphophallus	commutatus	NA	2	11.7	Chauhan and Brandham,1985
Amorphophallus	laxiflorus	NA	2	11.8	Chauhan and Brandham,1985
Amorphophallus	hildebrandtii	NA	2	12.8	Chauhan and Brandham,1985
Amorphophallus	lewallei	NA	-	13.9	Zonneveld et al.,2005
Amorphophallus	johnsonii	NA	2	15.8	Chauhan and Brandham,1985
Amphicarpaea	bracteata	NA	-	0.35	Bai et al.,2012
Ananas	bracteatus	NA	-	0.46	Arumuganathan and Earle,1991
Ananas	macrodontes	NA	-	0.5	Favoreto et al.,2012
Ananas	comosus	NA	-	0.55	Arumuganathan and Earle,1991
Anethum	graveolens	NA	2	1.2	Olszewska and Osiecka,1983
Anthoceros	punctatus	NA	-	0.18	Bainard & Villarreal,2013
Anthoceros	fusiformis	NA	-	0.19	Bainard & Villarreal,2013
Anthoceros	lamellatus	NA	-	0.19	Bainard & Villarreal,2013
Apium	nodiflorum	NA	2	1.1	Band,1984
Apocynum	androsaemifolium	NA	-	0.25	Bai et al.,2012
Apocynum	cannabinum	NA	-	0.3	Bai et al.,2012
Apostasia	nuda	NA	-	0.38	Jersáková et al.,2013
Apostasia	sp.	NA	-	0.38	Jersáková et al.,2013
Apostasia	shenzhenica	NA	-	0.4	Jersáková et al.,2013
Apostasia	odorata	NA	-	0.41	Jersáková et al.,2013
Apostasia	fogangica	NA	-	0.95	Yin et al.,2016
Apostasia	wallichii	NA	-	1.1	Jersáková et al.,2013
Aquilegia	vulgaris	NA	2	0.39	Pustahija et al.,2013
Aquilegia	canadensis	NA	-	0.47	Bai et al.,2012
Aquilegia	alpina	NA	2	0.6	Ingle et al.,1975
Arabidopsis	thaliana	ecotype Columbia	2	0.16	Bennett et al.,2003
Arabidopsis	neglecta		2	0.2	Lysák et al.,2009
Arabidopsis	arenosa		2	0.2	Lysák et al.,2009
Arabidopsis	halleri		2	0.24	Lysák et al.,2009
Arabidopsis	lyrata	subsp. lyrata	2	0.25	Lysák et al.,2009
Arabidopsis	korshynskyi		-	0.25	Nagl et al.,1983
Arabidopsis	cebennensis		2	0.29	Lysák et al.,2009
Arabidopsis	pumila		-	0.34	Houben et al.,2003
Arabidopsis	suecica		4	0.35	Lysák et al.,2009
Arabidopsis	arenosa		4	0.39	Lysák et al.,2009
Arabidopsis	wallichii		-	0.4	Houben et al.,2003
Arabidopsis	neglecta		4	0.4	Lysák et al.,2009
Arabidopsis	thaliana	accession Stoc	4	0.44	Schmuths et al.,2004
Arabidopsis	lyrata	subsp. petraea	4	0.45	Dart et al.,2004
Arabidopsis	kamchatica		4	0.52	Wolf et al.,2014
Arabis	auriculata	NA	2	0.23	Hoffmann et al.,2010
Arabis	montbretiana	NA	2	0.28	Hoffmann et al.,2010
Arabis	cenisia	NA	2	0.31	Lysák et al.,2009
Arabis	tibetica	NA	2	0.33	Lysák et al.,2009
Arabis	procurrens	NA	-	0.36	Lysák et al.,2009
Arabis	alpina	NA	2	0.38	Lysák et al.,2009
Arabis	hirsuta	NA	4	0.69	Johnston et al.,2005
Arabis	scopoliana	NA	-	1.46	Lysák et al.,2009
Arachis	duranensis	NA	2	1.27	Temsch and Greilhuber,2001
Arachis	sylvestris	NA	2	1.5	Singh et al.,1996
Arachis	triseminalis	NA	2	1.5	Singh et al.,1996
Arachis	villosulicarpa	NA	2	1.9	Singh et al.,1996
Arachis	pusilla	NA	2	2.1	Singh et al.,1996
Arachis	spegazinii	NA	2	2.5	Resslar et al.,1981
Arachis	batizocoi	NA	2	2.7	Singh et al.,1996
Arachis	ipaensis	NA	2	2.8	Singh et al.,1996
Arachis	hypogaea	NA	4	2.87	Temsch and Greilhuber,2000
Arachis	rigonii	NA	2	2.9	Singh et al.,1996
Arachis	monticola	NA	4	2.95	Temsch and Greilhuber,2000
Arachis	pintoi	NA	2	3	Singh et al.,1996
Arachis	appressipila	NA	2	3	Singh et al.,1996
Arachis	stenophylla	NA	2	3	Singh et al.,1996
Arachis	helodes	NA	2	3.1	Singh et al.,1996
Arachis	cardenasii	NA	2	3.1	Singh et al.,1996
Arachis	stenosperma	NA	2	3.1	Singh et al.,1996
Arachis	matiensis	NA	2	3.1	Singh et al.,1996
Arachis	chacoense	NA	2	3.2	Singh et al.,1996
Arachis	correntina	NA	2	3.2	Singh et al.,1996
Arachis	villosa	NA	2	3.3	Singh et al.,1996
Arachis	paraguariensis	NA	2	3.5	Singh et al.,1996
Arachis	glabrata	NA	4	5.8	Singh et al.,1996
Arctostaphylos	uva-ursi	NA	-	1.25	Siljak-Yakovlev et al.,2010
Areca	concinna	NA	2	6	Röser et al.,1997
Areca	minuta	NA	2	6.1	Röser et al.,1997
Aristolochia	pallida	NA	-	0.29	Vallès et al.,2014
Aristolochia	rotunda	NA	-	0.3	Veselý et al.,2012
Aristolochia	clematitis	NA	2	0.39	Veselý et al.,2013
Aristolochia	fimbriata	NA	-	0.5	Bharathan et al.,1994
Artemisia	mauiensis		-	1.28	Garcia et al.,2013
Artemisia	scoparia		2	1.77	Garcia et al.,2004
Artemisia	annua		2	1.9	Geber and Hasibeder,1980
Artemisia	dracunculus		2	2.1	Eisenman et al.,2011
Artemisia	oxycephala		2	2.11	Pellicer et al.,2007
Artemisia	santolinifolia		2	2.31	Garcia et al.,2004
Artemisia	frigida		2	2.63	Garcia et al.,2004
Artemisia	fragrans		2	2.68	Torrell and Valles,2001
Artemisia	marschalliana		2	2.69	Pellicer et al.,2007
Artemisia	abrotanum		2	2.89	Garcia et al.,2004
Artemisia	campestris		2	2.94	Torrell and Valles,2001
Artemisia	dracunculus		2	2.97	Pellicer et al.,2007
Artemisia	austriaca		2	2.98	Garcia et al.,2004
Artemisia	molinieri		2	2.98	Torrell and Valles,2001
Artemisia	giraldii		2	3	Pellicer et al.,2007
Artemisia	chamaemelifolia		2	3.02	Torrell and Valles,2001
Artemisia	stelleriana		2	3.05	Garcia et al.,2004
Artemisia	sieversiana		2	3.09	Garcia et al.,2004
Artemisia	magellanica		2	3.09	Pellicer et al.,2010
Artemisia	afra		2	3.16	Garcia et al.,2004
Artemisia	reptans		-	3.18	Garcia et al.,2013
Artemisia	campestris		2	3.19	Garcia et al.,2004
Artemisia	vulgaris		2	3.25	Garcia et al.,2004
Artemisia	persica		2	3.28	Garcia et al.,2004
Artemisia	herba-alba	subsp. valentina (Lam.) Mascl.	2	3.29	Torrell and Valles,2001
Artemisia	caerulescens	subsp. Gallica (Willd.) K.Persson	2	3.33	Torrell and Valles,2001
Artemisia	lagocephala		2	3.38	Garcia et al.,2004
Artemisia	tournefortiana		2	3.53	Garcia et al.,2004
Artemisia	filifolia		2	3.57	Garcia et al.,2004
Artemisia	palmeri		2	3.57	Garcia et al.,2008
Artemisia	spinescens		2	3.79	Garcia et al.,2008
Artemisia	lucentica		2	3.84	Torrell and Valles,2001
Artemisia	bigelovii		2	4	Garcia et al.,2008
Artemisia	tridentata	subsp. spiciformis Kartesz & Gandhi	2	4.09	Torrell and Valles,2001
Artemisia	rigida		2	4.12	Garcia et al.,2008
Artemisia	desertorum		4	4.14	Pellicer et al.,2007
Artemisia	nesiotica		2	4.19	Garcia et al.,2008
Artemisia	papposa		2	4.22	Garcia et al.,2008
Artemisia	glacialis		2	4.26	Garcia et al.,2004
Artemisia	californica		2	4.29	Garcia et al.,2008
Artemisia	dracunculus	var. sativa  Besser	4	4.33	Eisenman et al.,2011
Artemisia	bargusinensis		4	4.35	Pellicer et al.,2007
Artemisia	ledeebouriana		4	4.38	Pellicer et al.,2007
Artemisia	monostachya		4	4.39	Pellicer et al.,2007
Artemisia	depauperata		4	4.41	Pellicer et al.,2007
Artemisia	pedatifida		2	4.43	Garcia et al.,2008
Artemisia	spiciformis		2	4.5	Garcia et al.,2008
Artemisia	cana	subsp. bolanderi	2	4.51	Garcia et al.,2008
Artemisia	pycnorhiza		4	4.51	Pellicer et al.,2007
Artemisia	macilenta		4	4.53	Pellicer et al.,2007
Artemisia	nova		2	4.55	Garcia et al.,2008
Artemisia	arbuscula	subsp. arbuscula	2	4.61	Garcia et al.,2008
Artemisia	globosa		4	4.64	Pellicer et al.,2007
Artemisia	absinthium		2	4.71	Pustahija et al.,2013
Artemisia	vallesiaca		4	4.91	Garcia et al.,2006
Artemisia	gorgonum		2	5.12	Garcia et al.,2006
Artemisia	argentea		2	5.1	Greilhuber,1988
Artemisia	arenaria		4	5.15	Garcia et al.,2004
Artemisia	arborescens		2	5.18	Garcia et al.,2006
Artemisia	aschurbajewii		4	5.18	Garcia et al.,2004
Artemisia	thuscula		2	5.26	Torrell and Valles,2001
Artemisia	sosnovskyi		4	5.28	Pellicer et al.,2007
Artemisia	canariensis		2	5.32	Garcia et al.,2006
Artemisia	campestris		4	5.5	Torrell and Valles,2001
Artemisia	monosperma		4	5.51	Torrell and Valles,2001
Artemisia	pygmaea		2	5.57	Garcia et al.,2008
Artemisia	abrotanum		4	5.71	Garcia et al.,2004
Artemisia	subdigitata		4	5.85	Pellicer et al.,2007
Artemisia	changaica		4	5.85	Pellicer et al.,2007
Artemisia	dracunculus		4	5.91	Pellicer et al.,2007
Artemisia	glauca		4	5.99	Pellicer et al.,2007
Artemisia	alba		-	6.02	Garcia et al.,2013
Artemisia	judaica		2	6.1	Geber and Hasibeder,1980
Artemisia	vulgaris		4	6.08	Garcia et al.,2004
Artemisia	umbelliformis	subsp. umbelliformis	4	6.21	Torrell and Valles,2001
Artemisia	herba-alba	subsp. herba-alba	4	6.24	Torrell and Valles,2001
Artemisia	verlotiorum		-	6.27	Garcia et al.,2013
Artemisia	barrelieri		4	6.48	Torrell and Valles,2001
Artemisia	michauxiana		-	6.64	Garcia et al.,2013
Artemisia	splendens		4	6.8	Torrell and Valles,2001
Artemisia	ludoviciana		4	6.91	Garcia et al.,2008
Artemisia	carruthii		-	7	Garcia et al.,2013
Artemisia	ramosa		-	7.06	Garcia et al.,2013
Artemisia	princeps		6	7.3	Garcia et al.,2004
Artemisia	tridentata	subsp. wyomingensis	4	7.54	Garcia et al.,2008
Artemisia	bigelovii		4	7.66	Garcia et al.,2008
Artemisia	leucodes		2	7.7	Garcia et al.,2004
Artemisia	arbuscula	subsp. arbuscula	4	7.78	Garcia et al.,2008
Artemisia	dracunculoides		6	7.79	Pellicer et al.,2007
Artemisia	crithmifolia		6	7.8	Torrell and Valles,2001
Artemisia	dracunculus		6	7.86	Pellicer et al.,2007
Artemisia	argillosa		4	7.89	Garcia et al.,2008
Artemisia	dracunculus		8	7.96	Eisenman et al.,2011
Artemisia	rothrockii		4	8.21	Garcia et al.,2008
Artemisia	mendozana	var. paramilloensis  F.A. Roig & Ambrosetti	6	8.25	Pellicer et al.,2010
Artemisia	longiloba		4	8.31	Garcia et al.,2008
Artemisia	nova		4	8.63	Garcia et al.,2008
Artemisia	dubia		6	8.8	Greilhuber,1988
Artemisia	mendozana	var. mendozana DC.	8	10.28	Pellicer et al.,2010
Artemisia	echegarayi		8	10.57	Pellicer et al.,2010
Artemisia	mauiensis		-	1.28	Garcia et al.,2013
Artemisia	scoparia		2	1.77	Garcia et al.,2004
Artemisia	annua		2	1.9	Geber and Hasibeder,1980
Artemisia	dracunculus		2	2.1	Eisenman et al.,2011
Artemisia	oxycephala		2	2.11	Pellicer et al.,2007
Artemisia	santolinifolia		2	2.31	Garcia et al.,2004
Artemisia	frigida		2	2.63	Garcia et al.,2004
Artemisia	fragrans		2	2.68	Torrell and Valles,2001
Artemisia	marschalliana		2	2.69	Pellicer et al.,2007
Artemisia	abrotanum		2	2.89	Garcia et al.,2004
Artemisia	campestris		2	2.94	Torrell and Valles,2001
Artemisia	dracunculus		2	2.97	Pellicer et al.,2007
Artemisia	austriaca		2	2.98	Garcia et al.,2004
Artemisia	molinieri		2	2.98	Torrell and Valles,2001
Artemisia	giraldii		2	3	Pellicer et al.,2007
Artemisia	chamaemelifolia		2	3.02	Torrell and Valles,2001
Artemisia	stelleriana		2	3.05	Garcia et al.,2004
Artemisia	sieversiana		2	3.09	Garcia et al.,2004
Artemisia	magellanica		2	3.09	Pellicer et al.,2010
Artemisia	afra		2	3.16	Garcia et al.,2004
Artemisia	reptans		-	3.18	Garcia et al.,2013
Artemisia	campestris		2	3.19	Garcia et al.,2004
Artemisia	vulgaris		2	3.25	Garcia et al.,2004
Artemisia	persica		2	3.28	Garcia et al.,2004
Artemisia	herba-alba	subsp. valentina (Lam.) Mascl.	2	3.29	Torrell and Valles,2001
Artemisia	caerulescens	subsp. Gallica (Willd.) K.Persson	2	3.33	Torrell and Valles,2001
Artemisia	lagocephala		2	3.38	Garcia et al.,2004
Artemisia	tournefortiana		2	3.53	Garcia et al.,2004
Artemisia	filifolia		2	3.57	Garcia et al.,2004
Artemisia	palmeri		2	3.57	Garcia et al.,2008
Artemisia	spinescens		2	3.79	Garcia et al.,2008
Artemisia	lucentica		2	3.84	Torrell and Valles,2001
Artemisia	bigelovii		2	4	Garcia et al.,2008
Artemisia	tridentata	subsp. spiciformis Kartesz & Gandhi	2	4.09	Torrell and Valles,2001
Artemisia	rigida		2	4.12	Garcia et al.,2008
Artemisia	desertorum		4	4.14	Pellicer et al.,2007
Artemisia	nesiotica		2	4.19	Garcia et al.,2008
Artemisia	papposa		2	4.22	Garcia et al.,2008
Artemisia	glacialis		2	4.26	Garcia et al.,2004
Artemisia	californica		2	4.29	Garcia et al.,2008
Artemisia	dracunculus	var. sativa  Besser	4	4.33	Eisenman et al.,2011
Artemisia	bargusinensis		4	4.35	Pellicer et al.,2007
Artemisia	ledeebouriana		4	4.38	Pellicer et al.,2007
Artemisia	monostachya		4	4.39	Pellicer et al.,2007
Artemisia	depauperata		4	4.41	Pellicer et al.,2007
Artemisia	pedatifida		2	4.43	Garcia et al.,2008
Artemisia	spiciformis		2	4.5	Garcia et al.,2008
Artemisia	cana	subsp. bolanderi	2	4.51	Garcia et al.,2008
Artemisia	pycnorhiza		4	4.51	Pellicer et al.,2007
Artemisia	macilenta		4	4.53	Pellicer et al.,2007
Artemisia	nova		2	4.55	Garcia et al.,2008
Artemisia	arbuscula	subsp. arbuscula	2	4.61	Garcia et al.,2008
Artemisia	globosa		4	4.64	Pellicer et al.,2007
Artemisia	absinthium		2	4.71	Pustahija et al.,2013
Artemisia	vallesiaca		4	4.91	Garcia et al.,2006
Artemisia	gorgonum		2	5.12	Garcia et al.,2006
Artemisia	argentea		2	5.1	Greilhuber,1988
Artemisia	arenaria		4	5.15	Garcia et al.,2004
Artemisia	arborescens		2	5.18	Garcia et al.,2006
Artemisia	aschurbajewii		4	5.18	Garcia et al.,2004
Artemisia	thuscula		2	5.26	Torrell and Valles,2001
Artemisia	sosnovskyi		4	5.28	Pellicer et al.,2007
Artemisia	canariensis		2	5.32	Garcia et al.,2006
Artemisia	campestris		4	5.5	Torrell and Valles,2001
Artemisia	monosperma		4	5.51	Torrell and Valles,2001
Artemisia	pygmaea		2	5.57	Garcia et al.,2008
Artemisia	abrotanum		4	5.71	Garcia et al.,2004
Artemisia	subdigitata		4	5.85	Pellicer et al.,2007
Artemisia	changaica		4	5.85	Pellicer et al.,2007
Artemisia	dracunculus		4	5.91	Pellicer et al.,2007
Artemisia	glauca		4	5.99	Pellicer et al.,2007
Artemisia	alba		-	6.02	Garcia et al.,2013
Artemisia	judaica		2	6.1	Geber and Hasibeder,1980
Artemisia	vulgaris		4	6.08	Garcia et al.,2004
Artemisia	umbelliformis	subsp. umbelliformis	4	6.21	Torrell and Valles,2001
Artemisia	herba-alba	subsp. herba-alba	4	6.24	Torrell and Valles,2001
Artemisia	verlotiorum		-	6.27	Garcia et al.,2013
Artemisia	barrelieri		4	6.48	Torrell and Valles,2001
Artemisia	michauxiana		-	6.64	Garcia et al.,2013
Artemisia	splendens		4	6.8	Torrell and Valles,2001
Artemisia	ludoviciana		4	6.91	Garcia et al.,2008
Artemisia	carruthii		-	7	Garcia et al.,2013
Artemisia	ramosa		-	7.06	Garcia et al.,2013
Artemisia	princeps		6	7.3	Garcia et al.,2004
Artemisia	tridentata	subsp. wyomingensis	4	7.54	Garcia et al.,2008
Artemisia	bigelovii		4	7.66	Garcia et al.,2008
Artemisia	leucodes		2	7.7	Garcia et al.,2004
Artemisia	arbuscula	subsp. arbuscula	4	7.78	Garcia et al.,2008
Artemisia	dracunculoides		6	7.79	Pellicer et al.,2007
Artemisia	crithmifolia		6	7.8	Torrell and Valles,2001
Artemisia	dracunculus		6	7.86	Pellicer et al.,2007
Artemisia	argillosa		4	7.89	Garcia et al.,2008
Artemisia	dracunculus		8	7.96	Eisenman et al.,2011
Artemisia	rothrockii		4	8.21	Garcia et al.,2008
Artemisia	mendozana	var. paramilloensis  F.A. Roig & Ambrosetti	6	8.25	Pellicer et al.,2010
Artemisia	longiloba		4	8.31	Garcia et al.,2008
Artemisia	nova		4	8.63	Garcia et al.,2008
Artemisia	dubia		6	8.8	Greilhuber,1988
Artemisia	mendozana	var. mendozana DC.	8	10.28	Pellicer et al.,2010
Artemisia	echegarayi		8	10.57	Pellicer et al.,2010
Artocarpus	heterophylla	NA	-	1.2	Ohri and Kumar,1986
Artocarpus	lakoocha	NA	-	1.2	Ohri and Kumar,1986
Asclepias	verticillata	NA	-	0.34	Bai et al.,2012
Asclepias	incarnata	NA	-	0.35	Bai et al.,2012
Asclepias	syriaca	NA	2	0.42	Kubešová et al.,2010
Asclepias	tuberosa	NA	-	0.57	Bai et al.,2012
Asparagus	retrofractus		2	0.72	Stajner N.,2002
Asparagus	plumosus	'Pyramidalis'	2	0.72	Stajner N.,2002
Asparagus	myriocladus		2	0.73	Stajner N.,2002
Asparagus	umbellatus		2	1.28	Suda et al.,2003
Asparagus	virgatus		4	1.35	Stajner N.,2002
Asparagus	officinalis		2	1.46	Stajner N.,2002
Asparagus	verticillatus		2	1.52	Stajner N.,2002
Asparagus	tenuifolius		-	1.53	Veselý et al.,2012
Asparagus	densiflorus		-	2.18	Veselý et al.,2012
Asparagus	cochinchinensis		-	2.45	Zhang et al.,2013
Asparagus	acutifolius		-	2.65	Veselý et al.,2012
Asparagus	officinalis		4	3.2	Šmarda et al.,2014
Asparagus	maritimus		6	3.94	Stajner N.,2002
Atalantia	ceylanica	NA	2	0.53	Kayim et al.,1998
Atalantia	monophylla	NA	2	0.6	Ohri and Kumar,1986
Azadirachta	indica	NA	-	0.39	Ohri,2002
Azolla	microphylla	NA	2	0.77	Obermayer et al.,2002
Bauhinia	blakeana	NA	-	0.6	Ohri et al.,2004
Bauhinia	purpurea	NA	2	0.6	Ohri and Kumar,1986
Bauhinia	tomentosa	NA	2	0.63	Ohri,2002
Bauhinia	hookeri	NA	-	0.63	Ohri,2002
Bauhinia	galpinii	NA	2	0.66	Ohri et al.,2004
Bauhinia	monandra	NA	2	0.72	Ohri et al.,2004
Begonia	ulmifolia		-	0.25	Dewitte et al.,2009
Begonia	venosa		-	0.25	Dewitte et al.,2009
Begonia	dietrichiana		-	0.25	Dewitte et al.,2009
Begonia	glaba		-	0.26	Dewitte et al.,2009
Begonia	subvillosa	var. leptotricha	-	0.29	Dewitte et al.,2009
Begonia	cucullata		-	0.3	Dewitte et al.,2009
Begonia	soli-mutata		-	0.31	Dewitte et al.,2009
Begonia	listada		-	0.31	Dewitte et al.,2009
Begonia	echinosepala	var. elongatifolia	-	0.32	Dewitte et al.,2009
Begonia	luxuarians	var. ziesenhenne	-	0.32	Dewitte et al.,2009
Begonia	tomentosa		-	0.34	Dewitte et al.,2009
Begonia	hispida	var. cucculifera	-	0.35	Dewitte et al.,2009
Begonia	metallica		-	0.35	Dewitte et al.,2009
Begonia	schmidtiana		-	0.38	Dewitte et al.,2009
Begonia	maculata		-	0.53	Dewitte et al.,2009
Begonia	undulata		-	0.56	Dewitte et al.,2009
Begonia	odorata		-	0.56	Dewitte et al.,2009
Begonia	coccinea		-	0.56	Dewitte et al.,2009
Begonia	solananthera		-	0.57	Dewitte et al.,2009
Begonia	diadema		-	0.58	Dewitte et al.,2009
Begonia	radicans		-	0.58	Dewitte et al.,2009
Begonia	albo-picta		-	0.58	Dewitte et al.,2009
Begonia	sutherlandii		-	0.61	Dewitte et al.,2009
Begonia	socotrana	cv. Tamaya	-	0.62	Marie & Brown,1993
Begonia	partita		-	0.63	Dewitte et al.,2009
